"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"U Me Aur Hum"|"100"|"Street Food"|"Cuttack"|"Buxi Bazaar"|"https://www.zomato.com/cuttack/u-me-aur-hum-buxi-bazaar/info"|"5"|"none"|"1130am to 930pm(Mon-Sun)"|"Good"|"3.7"|"82"
"Vyanjan Restaurant"|"300"|"North Indian,South Indian"|"Cuttack"|"Naya Bazaar"|"https://www.zomato.com/cuttack/vyanjan-restaurant-naya-bazaar/info"|"5"|"Casual Dining"|"9am to 330pm,5pm to 1015pm(Mon-Sun)"|"Good"|"3.5"|"50"
"Glitter Latte"|"300"|"Cafe"|"Cuttack"|"Buxi Bazaar"|"https://www.zomato.com/cuttack/glitter-latte-1-buxi-bazaar/info"|"5"|"Café"|"11am to 9pm(Mon-Sun)"|"Average"|"3.3"|"66"
"Mahabir Delight"|"500"|"North Indian,Chinese"|"Cuttack"|"Sutahat"|"https://www.zomato.com/cuttack/mahabir-delight-sutahat/info"|"5"|"Quick Bites"|"12noon to 4pm,630pm to 1030pm(Mon-Sun)"|"Good"|"3.6"|"56"
"Khushi Veg Fast Food"|"200"|"Fast Food"|"Cuttack"|"Siba Bazaar"|"https://www.zomato.com/cuttack/khushi-veg-fast-food-siba-bazaar/info"|"5"|"Quick Bites"|"530pm to 10pm(Mon-Sun)"|"Average"|"3.4"|"66"
"Cake Bazaar"|"200"|"Bakery"|"Cuttack"|"Buxi Bazaar"|"https://www.zomato.com/cuttack/cake-bazaar-buxi-bazaar/info"|"5"|"Bakery"|"10am to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Paani Drinks Ka Destination"|"300"|"Fast Food,Juices"|"Cuttack"|"CDA Sector 6"|"https://www.zomato.com/cuttack/paani-drinks-ka-destination-cda-sector-6/info"|"5"|"Quick Bites"|"8am to 10pm(Mon-Sun)"|"Average"|"3.3"|"40"
"Mahaveer Sweets"|"250"|"Mithai,Fast Food"|"Cuttack"|"Naya Bazaar"|"https://www.zomato.com/cuttack/mahaveer-sweets-naya-bazaar/info"|"5"|"Sweet Shop"|"7am to 10pm(Mon-Sun)"|"Average"|"3.3"|"85"
"Lemon Restaurant"|"400"|"North Indian"|"Cuttack"|"CDA Sector 6"|"https://www.zomato.com/cuttack/lemon-restaurant-cda-sector-6/info"|"5"|"Casual Dining"|"12noon to 11pm(Mon-Sun)"|"Average"|"3.4"|"118"
"Guchi's"|"800"|"North Indian,Chinese"|"Cuttack"|"Mal Godown Market"|"https://www.zomato.com/cuttack/guchis-mal-godown-market/info"|"5"|"Casual Dining"|"11am to 1130pm(Mon-Sun)"|"Average"|"3.4"|"95"
"Cafe Corner & Restaurant"|"350"|"Fast Food,Cafe,Chinese,North Indian"|"Cuttack"|"Naya Bazaar"|"https://www.zomato.com/cuttack/cafe-corner-restaurant-naya-bazaar/info"|"5"|"Quick Bites"|"11am to 930pm(Mon-Sun)"|"Average"|"3.3"|"19"
"Shawarma Corner"|"150"|"Lebanese"|"Cuttack"|"Siba Bazaar"|"https://www.zomato.com/cuttack/shawarma-corner-siba-bazaar/info"|"5"|"Quick Bites"|"530pm to 10pm(Mon-Sun)"|"Good"|"3.5"|"40"
"Aditya Restaurant"|"500"|"North Indian"|"Cuttack"|"Buxi Bazaar"|"https://www.zomato.com/cuttack/aditya-restaurant-buxi-bazaar/info"|"5"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Average"|"3.4"|"73"
"Shree Vineeth's"|"600"|"South Indian"|"Cuttack"|"Sutahat"|"https://www.zomato.com/cuttack/shree-vineeths-sutahat/info"|"5"|"Casual Dining"|"7am to 10pm(Mon-Sun)"|"Average"|"3.3"|"57"
"Tummy Tizer"|"400"|"Fast Food"|"Cuttack"|"Mal Godown Market"|"https://www.zomato.com/cuttack/tummy-tizer-mal-godown-market/info"|"5"|"Quick Bites"|"12noon to 10pm(Mon-Sun)"|"Average"|"3.3"|"57"
