"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Kiku's Kitchen"|"250"|"Chinese,Fast Food"|"Mumbai"|"Mira Road"|"https://www.zomato.com/mumbai/kikus-kitchen-mira-road/info"|"872"|"Quick Bites"|"12noon to 12midnight(Mon-Sun)"|"Not rated"|"-"|"-"
"The Wraps Kitchen"|"300"|"Burger,Beverages,Fast Food"|"Mumbai"|"Kharghar"|"https://www.zomato.com/mumbai/the-wraps-kitchen-kharghar-navi-mumbai/info"|"872"|"none"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"89 China Town"|"500"|"Fast Food,North Indian"|"Mumbai"|"Vasai"|"https://www.zomato.com/mumbai/89-china-town-vasai/info"|"872"|"Quick Bites"|"10am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Bollywood Restaurant"|"400"|"Chinese,North Indian"|"Mumbai"|"Goregaon West"|"https://www.zomato.com/mumbai/bollywood-restaurant-goregaon-west/info"|"872"|"Casual Dining"|"1130am to 430pm,7pm to 1230AM(Mon-Sun)"|"Not rated"|"-"|"-"
"Sai vihar"|"400"|"Chinese,South Indian"|"Mumbai"|"Vasai"|"https://www.zomato.com/mumbai/sai-vihar-vasai/info"|"872"|"Quick Bites"|"9am to 1230AM(Mon-Sun)"|"Not rated"|"-"|"-"
"Supreme Cake"|"400"|"Bakery"|"Mumbai"|"Bhandup"|"https://www.zomato.com/mumbai/supreme-cake-bhandup/info"|"872"|"Bakery"|"8am to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Good Luck Fast Food Corner"|"300"|"Fast Food"|"Mumbai"|"Ghatkopar East"|"https://www.zomato.com/mumbai/good-luck-fast-food-corner-ghatkopar-east/info"|"872"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Hotel Kolhapuri Thaska"|"500"|"Chinese,Maharashtrian,North Indian,Seafood"|"Mumbai"|"Old Panvel"|"https://www.zomato.com/mumbai/hotel-kolhapuri-thaska-old-panvel-navi-mumbai/info"|"872"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Foodiesbite"|"200"|"Fast Food,Beverages"|"Mumbai"|"Bhandup"|"https://www.zomato.com/mumbai/foodiesbite-bhandup/info"|"872"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"32bites"|"300"|"North Indian,Chinese,Continental,Fast Food"|"Mumbai"|"Dombivali East"|"https://www.zomato.com/mumbai/32bites-dombivali-east/info"|"872"|"none"|"10am to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Open Table"|"600"|"Chinese,Fast Food"|"Mumbai"|"Dombivali East"|"https://www.zomato.com/mumbai/open-table-dombivali-east/info"|"872"|"Quick Bites"|"9am to 1030pm(Mon-Sun)"|"Average"|"3.2"|"7"
"Bombay Burgers"|"200"|"Burger,Fast Food"|"Mumbai"|"Vile Parle East"|"https://www.zomato.com/mumbai/bombay-burgers-1-vile-parle-east/info"|"872"|"none"|"1030am to 1130pm(Mon-Sun)"|"Not rated"|"-"|"-"
"The Barbeque Factory"|"300"|"North Indian"|"Mumbai"|"Versova-- Andheri West"|"https://www.zomato.com/mumbai/the-barbeque-factory-versova/info"|"872"|"Quick Bites"|"11am to 12midnight(Mon-Sun)"|"None"|"NEW"|"NEW"
"Kitchen Kraft"|"800"|"Continental,Biryani,Mexican,Italian,Chinese,Mughlai,North Indian,Asian"|"Mumbai"|"Chembur"|"https://www.zomato.com/mumbai/kitchen-kraft-1-chembur/info"|"872"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"7 Oliver Chinese Corner"|"300"|"Fast Food,Chinese"|"Mumbai"|"Bhandup"|"https://www.zomato.com/mumbai/7-oliver-chinese-corner-1-bhandup/info"|"872"|"Quick Bites"|"12noon to 4pm,7pm to 1130pm(Mon-Sun)"|"Not rated"|"-"|"-"
