"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Delicatesse"|"300"|"Bakery"|"Chennai"|"Kilpauk"|"https://www.zomato.com/chennai/delicatesse-kilpauk/info"|"178"|"none"|"5pm to 11pm(Mon-Sun)"|"Average"|"3.3"|"7"
"Happy Door"|"300"|"Fast Food,Desserts"|"Chennai"|"Ambattur"|"https://www.zomato.com/chennai/happy-door-ambattur/info"|"178"|"Quick Bites"|"1030am to 11pm(Mon-Sun)"|"Average"|"3.0"|"4"
"Hotel Sai Mangalambika"|"250"|"South Indian"|"Chennai"|"Adambakkam"|"https://www.zomato.com/chennai/hotel-sai-mangalambika-adambakkam/info"|"178"|"Quick Bites"|"730am to 330pm,630pm to 11pm(Mon-Sun)"|"Average"|"3.2"|"9"
"Bombay Kulfi House"|"100"|"Desserts"|"Chennai"|"Mylapore"|"https://www.zomato.com/chennai/bombay-kulfi-house-mylapore/info"|"178"|"Dessert Parlor"|"11am to 11pm(Mon-Sun)"|"Average"|"3.3"|"9"
"Paradise Kitchen"|"300"|"South Indian,BBQ,Chinese"|"Chennai"|"Arumbakkam"|"https://www.zomato.com/chennai/paradise-kitchen-arumbakkam/info"|"178"|"Quick Bites"|"12noon to 11pm(Mon-Sun)"|"Average"|"3.2"|"10"
"Snack Shack"|"200"|"Fast Food"|"Chennai"|"Madipakkam"|"https://www.zomato.com/chennai/snack-shack-madipakkam/info"|"178"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.3"|"11"
"Meenatchi Mess"|"200"|"South Indian"|"Chennai"|"Chromepet"|"https://www.zomato.com/chennai/meenatchi-mess-chromepet/info"|"178"|"Mess"|"7am to 11am,1130am to 330pm,7pm to 1045pm..."|"Average"|"3.3"|"9"
"Queen's Burger"|"300"|"Burger,Fast Food"|"Chennai"|"GST Road"|"https://www.zomato.com/chennai/queens-burger-gst-road/info"|"178"|"Quick Bites"|"10am to 930pm(Mon-Sun)"|"Average"|"2.9"|"9"
"Green Onion & Deat Restaurant"|"350"|"North Indian,Chinese"|"Chennai"|"Sholinganallur"|"https://www.zomato.com/chennai/green-onion-deat-restaurant-sholinganallur/info"|"178"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"EK Sau Tikka"|"350"|"North Indian,Chinese"|"Chennai"|"Sholinganallur"|"https://www.zomato.com/chennai/ek-sau-tikka-sholinganallur/info"|"178"|"Quick Bites"|"9am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Kavin Proteins"|"250"|"Chinese,North Indian"|"Chennai"|"Perambur"|"https://www.zomato.com/chennai/kavin-proteins-perambur/info"|"178"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.2"|"4"
"Balaji Mess"|"200"|"South Indian,Fast Food"|"Chennai"|"Chengalpattu"|"https://www.zomato.com/chennai/balaji-mess-chengalpattu/info"|"178"|"Mess"|"7am to 4pm(Mon-Sun)"|"Average"|"3.4"|"9"
"Five Star Chicken"|"400"|"Fast Food"|"Chennai"|"Saligramam"|"https://www.zomato.com/chennai/five-star-chicken-2-saligramam/info"|"178"|"Quick Bites"|"1259AM to 11pm(Mon-Sun)"|"Average"|"3.2"|"5"
"Shree Pasumai Organic Restaurant"|"200"|"Healthy Food,North Indian"|"Chennai"|"Thiruvanmiyur"|"https://www.zomato.com/chennai/shree-pasumai-organic-restaurant-thiruvanmiyur/info"|"178"|"Quick Bites"|"1030am to 930pm(Mon-Sun)"|"Average"|"3.4"|"10"
"Lakshmi Bakers & Dosa Kadai"|"300"|"Bakery,South Indian"|"Chennai"|"Porur"|"https://www.zomato.com/chennai/lakshmi-bakers-dosa-kadai-porur/info"|"178"|"Bakery"|"7am to 1030pm(Mon-Sun)"|"Not rated"|"-"|"-"
